basisOfRecord,catalogNumber,collectionCode,country,eventDate,extraction_method,image,institutionCode,locality,ocr_confidence,ocr_engine,recordedBy,scientificName,specimen_id,stateProvince
PreservedSpecimen,,,Canada,,simple,038f376f9a92ab3dc3596391c801f2386bdd77ebf745c1e704340266c229d4fd.jpg,,,0.892,vision,,Oxeye daisy,038f376f9a92ab3dc3596391c801f2386bdd77ebf745c1e704340266c229d4fd,Saskatchewan
PreservedSpecimen,2053,REGINA,Canada,2053,simple,039ac216186bf21aa33d273add6d0755566f0b26c4e38ef3ebb699c97013338d.jpg,AAFC,,0.963,vision,,Bidens vulgata,039ac216186bf21aa33d273add6d0755566f0b26c4e38ef3ebb699c97013338d,Saskatchewan
PreservedSpecimen,28,REGINA,Canada,1982,simple,03b3c070cdf0280971ff612b7758a84059a8ad70e5062984c61208abd0b989dc.jpg,AAFC,,0.95,vision,,Checked by,03b3c070cdf0280971ff612b7758a84059a8ad70e5062984c61208abd0b989dc,Saskatchewan
PreservedSpecimen,,,Canada,1956,simple,03b4400f8f7d0eb1757daa0e04963e6725c0503ac046ba7ecd66f2bd65f88221.jpg,,,1.0,vision,B.S. Molberg.,Yellow goatsb,03b4400f8f7d0eb1757daa0e04963e6725c0503ac046ba7ecd66f2bd65f88221,Saskatchewan
PreservedSpecimen,,REGINA,Canada,1984,simple,03d25e613792f22611bdb5055926c4eef4571717a3376a7829444890f6af4758.jpg,AAFC,,1.0,vision,Coll. No. grassy.strip.between.field.and.dump site. D.W. Douglas. .,Elymus junceus,03d25e613792f22611bdb5055926c4eef4571717a3376a7829444890f6af4758,Saskatchewan
PreservedSpecimen,477,,Canada,1986,simple,03d38010450f617454cb2b0dc7758830c69a85f1000f656da71d06d215c6ecb7.jpg,,,0.937,vision,,Elymus virginicus,03d38010450f617454cb2b0dc7758830c69a85f1000f656da71d06d215c6ecb7,Saskatchewan
PreservedSpecimen,2439,REGINA,Canada,2439,simple,03d888933267aa15a2bb65f1fb901f858406641316bd7218d24af9f0896b855f.jpg,AAFC,,1.0,vision,,Phleum pratense,03d888933267aa15a2bb65f1fb901f858406641316bd7218d24af9f0896b855f,Saskatchewan
PreservedSpecimen,,,,,simple,03ddb423d911e8f3f965cf5880da90198717db8e51a7052900595e1c184e2a59.jpg,,,1.0,vision,,,03ddb423d911e8f3f965cf5880da90198717db8e51a7052900595e1c184e2a59,
PreservedSpecimen,138,REGINA,Canada,1987,simple,0406d69a0c878291a263fe1cbf2709d0b73e68256dda5dd511f1c4613aff69bd.jpg,AAFC,,1.0,vision,S. Paquette . . .,Bromus tectorum,0406d69a0c878291a263fe1cbf2709d0b73e68256dda5dd511f1c4613aff69bd,Saskatchewan
PreservedSpecimen,,,Canada,9359,simple,040d2d4ebc27eb91a502f994f0d4689f5c4ea397c9341681d060b1c1e0a05051.jpg,,,0.922,vision,,Calibrite colorchecker,040d2d4ebc27eb91a502f994f0d4689f5c4ea397c9341681d060b1c1e0a05051,Saskatchewan
